policy_id,product_id,rule_type,condition_field,operator,threshold_value,severity,required_evidence,rule_text,effective_from,effective_to,version,owner_team,source_id,synthetic_flag
POL-CA-01,PRD-CA-001,eligibility,customer_status,equals,active,medium,customer_profile,Tài khoản thanh toán doanh nghiệp: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CA-02,PRD-CA-001,document,business_registration,present,true,high,business_registration,Tài khoản thanh toán doanh nghiệp: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CA-03,PRD-CA-001,risk,risk_segment,not_equals,high,medium,risk_profile,Tài khoản thanh toán doanh nghiệp: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-PY-01,PRD-PY-001,eligibility,customer_status,equals,active,medium,customer_profile,Dịch vụ chi lương doanh nghiệp: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-PY-02,PRD-PY-001,document,business_registration,present,true,high,business_registration,Dịch vụ chi lương doanh nghiệp: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-PY-03,PRD-PY-001,risk,risk_segment,not_equals,high,medium,risk_profile,Dịch vụ chi lương doanh nghiệp: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CM-01,PRD-CM-001,eligibility,customer_status,equals,active,medium,customer_profile,Quản lý dòng tiền tập trung: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CM-02,PRD-CM-001,document,business_registration,present,true,high,business_registration,Quản lý dòng tiền tập trung: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CM-03,PRD-CM-001,risk,risk_segment,not_equals,high,medium,risk_profile,Quản lý dòng tiền tập trung: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CO-01,PRD-CO-001,eligibility,customer_status,equals,active,medium,customer_profile,Thu hộ và quản lý khoản phải thu: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CO-02,PRD-CO-001,document,business_registration,present,true,high,business_registration,Thu hộ và quản lý khoản phải thu: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CO-03,PRD-CO-001,risk,risk_segment,not_equals,high,medium,risk_profile,Thu hộ và quản lý khoản phải thu: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-PO-01,PRD-PO-001,eligibility,customer_status,equals,active,medium,customer_profile,Thanh toán nhà cung cấp: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-002,true
POL-PO-02,PRD-PO-001,document,business_registration,present,true,high,business_registration,Thanh toán nhà cung cấp: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-002,true
POL-PO-03,PRD-PO-001,risk,risk_segment,not_equals,high,medium,risk_profile,Thanh toán nhà cung cấp: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-002,true
POL-WC-01,PRD-WC-001,eligibility,customer_status,equals,active,medium,customer_profile,Hạn mức vốn lưu động: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Credit,SRC-FATF-001,true
POL-WC-02,PRD-WC-001,document,business_registration,present,true,high,business_registration,Hạn mức vốn lưu động: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Credit,SRC-FATF-001,true
POL-WC-03,PRD-WC-001,risk,risk_segment,not_equals,high,medium,risk_profile,Hạn mức vốn lưu động: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Credit,SRC-FATF-001,true
POL-GU-01,PRD-GU-001,eligibility,customer_status,equals,active,medium,customer_profile,Bảo lãnh doanh nghiệp: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-PROP-001,true
POL-GU-02,PRD-GU-001,document,business_registration,present,true,high,business_registration,Bảo lãnh doanh nghiệp: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-PROP-001,true
POL-GU-03,PRD-GU-001,risk,risk_segment,not_equals,high,medium,risk_profile,Bảo lãnh doanh nghiệp: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-PROP-001,true
POL-FX-01,PRD-FX-001,eligibility,customer_status,equals,active,medium,customer_profile,Thanh toán và thu tiền quốc tế: Khách hàng phải ở trạng thái active.,2026-01-01,2026-12-31,v1.0,Product,SRC-ISO-002,true
POL-FX-02,PRD-FX-001,document,business_registration,present,true,high,business_registration,Thanh toán và thu tiền quốc tế: Phải có đăng ký doanh nghiệp còn hiệu lực.,2026-01-01,2026-12-31,v1.0,Product,SRC-ISO-002,true
POL-FX-03,PRD-FX-001,risk,risk_segment,not_equals,high,medium,risk_profile,Thanh toán và thu tiền quốc tế: Khách hàng phân khúc rủi ro cao cần human review.,2026-01-01,2026-12-31,v1.0,Product,SRC-ISO-002,true
POL-CA-04,PRD-CA-001,document,chief_accountant_appointment,present,true,high,chief_accountant,Tài khoản thanh toán doanh nghiệp: Yêu cầu Quyết định bổ nhiệm Kế toán trưởng.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CA-05,PRD-CA-001,eligibility,ubo_declaration,equals,verified,high,ubo_profile,Tài khoản thanh toán doanh nghiệp: Hoàn tất định danh Chủ sở hữu hưởng lợi (UBO).,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-PY-04,PRD-PY-001,eligibility,minimum_employees,greater_than_or_equals,10,medium,employee_payroll_list,Dịch vụ chi lương doanh nghiệp: Doanh nghiệp cần tối thiểu 10 nhân sự.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-PY-05,PRD-PY-001,document,payroll_agreement,present,true,high,payroll_agreement,Dịch vụ chi lương doanh nghiệp: Yêu cầu ký kết Hợp đồng dịch vụ chi lương.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CM-04,PRD-CM-001,eligibility,annual_revenue_vnd,greater_than_or_equals,50000000000,high,financial_statements,Quản lý dòng tiền tập trung: Doanh thu tối thiểu 50 tỷ VNĐ.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-CM-05,PRD-CM-001,document,cash_sweeping_agreement,present,true,high,cash_sweeping_agreement,Quản lý dòng tiền tập trung: Yêu cầu Thỏa thuận điều chuyển số dư tự động giữa mẹ và con.,2026-01-01,2026-12-31,v1.0,Product,SRC-BIAN-001,true
POL-WC-04,PRD-WC-001,eligibility,years_of_operation,greater_than_or_equals,2,high,business_registration,Hạn mức vốn lưu động: Doanh nghiệp hoạt động từ 2 năm trở lên.,2026-01-01,2026-12-31,v1.0,Credit,SRC-FATF-001,true
POL-WC-05,PRD-WC-001,eligibility,credit_score_cic,not_in,bad_debt_group_3_5,high,cic_report,Hạn mức vốn lưu động: Không có nợ xấu nhóm 3-5 trên hệ thống CIC.,2026-01-01,2026-12-31,v1.0,Credit,SRC-FATF-001,true
POL-WC-06,PRD-WC-001,document,financial_statements,present,true,high,financial_statements,Hạn mức vốn lưu động: Yêu cầu báo cáo tài chính tối thiểu 2 năm gần nhất.,2026-01-01,2026-12-31,v1.0,Credit,SRC-FATF-001,true
POL-GU-04,PRD-GU-001,document,underlying_contract,present,true,high,underlying_contract,Bảo lãnh doanh nghiệp: Yêu cầu hồ sơ chứng minh nghĩa vụ được bảo lãnh (Hợp đồng kinh tế gốc).,2026-01-01,2026-12-31,v1.0,Product,SRC-PROP-001,true
POL-FX-04,PRD-FX-001,document,legitimate_purpose_doc,present,true,high,trade_documents,Thanh toán và thu tiền quốc tế: Yêu cầu hồ sơ chứng minh mục đích chuyển tiền (Sales Contract; Invoice; tờ khai hải quan).,2026-01-01,2026-12-31,v1.0,Product,SRC-ISO-002,true
