request_id,customer_id,rm_id,request_type,request_title,requested_capabilities,business_goal,expected_response_by,priority,intake_channel,existing_products,rm_notes,status,source_id,synthetic_flag
REQ-2026-001,CUST-0001,RM-01,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty TNHH Sản xuất Minh An,"payroll, cash management, collection, working capital",Tập trung dòng tiền và giảm thời gian xử lý vận hành,2026-07-18T17:00:00+07:00,high,rm_workspace,current_account,"Khách hàng có 500 nhân viên; yêu cầu xử lý payroll, thu/chi hộ và tìm hiểu vốn lưu động. Chưa cung cấp UBO và BCTC gần nhất.",received,SRC-SYN-001,true
REQ-2026-002,CUST-0002,RM-02,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty Cổ phần Logistics Đông Dương,"supplier payments, collection, cash management",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-19T17:00:00+07:00,normal,email_import,current_account;payment_order,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-003,CUST-0003,RM-03,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty TNHH Công nghệ Sao Việt,"current account, international payment, working capital",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-20T17:00:00+07:00,normal,rm_workspace,current_account,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-004,CUST-0004,RM-04,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty Cổ phần Thực phẩm An Bình,"payroll, collection, merchant settlement, working capital",Tập trung dòng tiền và giảm thời gian xử lý vận hành,2026-07-21T17:00:00+07:00,medium,email_import,current_account;payment_order,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-005,CUST-0005,RM-05,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty TNHH Dược phẩm Nam Việt,"current account, payroll, supplier payment",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-22T17:00:00+07:00,high,rm_workspace,current_account,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-006,CUST-0006,RM-01,high_risk_review,Nhu cầu giải pháp doanh nghiệp - Công ty Cổ phần Năng lượng Xanh Việt,"project account, guarantee, working capital",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-23T17:00:00+07:00,normal,email_import,current_account;payment_order,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-007,CUST-0007,RM-02,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty TNHH Bán lẻ Hưng Thịnh,"merchant settlement, payroll, cash management",Tập trung dòng tiền và giảm thời gian xử lý vận hành,2026-07-24T17:00:00+07:00,medium,rm_workspace,current_account,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-008,CUST-0008,RM-03,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty Cổ phần Xây dựng Đại Phát,"guarantee, project account, supplier payment",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-18T17:00:00+07:00,normal,email_import,current_account;payment_order,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-009,CUST-0009,RM-04,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty TNHH Dịch vụ Y tế Tâm An,"payroll, collection, account services",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-19T17:00:00+07:00,high,rm_workspace,current_account,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-010,CUST-0010,RM-05,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty Cổ phần Xuất khẩu Biển Đông,"export collection, FX payment, working capital",Tập trung dòng tiền và giảm thời gian xử lý vận hành,2026-07-20T17:00:00+07:00,medium,email_import,current_account;payment_order,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-011,CUST-0011,RM-01,high_risk_review,Nhu cầu giải pháp doanh nghiệp - Công ty TNHH Giáo dục Khai Minh,"payroll, tuition collection, cash management",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-21T17:00:00+07:00,normal,rm_workspace,current_account,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
REQ-2026-012,CUST-0012,RM-02,complex_multi_domain,Nhu cầu giải pháp doanh nghiệp - Công ty Cổ phần Nông nghiệp Mekong,"collection, seasonal working capital, supplier payment",Chuẩn hóa thanh toán và bổ sung năng lực vốn lưu động,2026-07-22T17:00:00+07:00,normal,email_import,current_account;payment_order,"Cần phương án có thể triển khai theo từng giai đoạn, ưu tiên dịch vụ giao dịch trước.",received,SRC-SYN-001,true
