workflow_id,workflow_name,step_no,step_name,task_type,precondition,required_inputs,action,success_criteria,on_missing,next_status,owner_role,sla_hours,escalation_trigger,source_id,synthetic_flag
WF-CORP-001,Corporate Request Resolution,1,Intake and normalize request,intake,"case.status in [new,received]",request_id;customer_id,execute_wf-corp-001_step_1,output_contract_valid,reject_invalid_input,in_analysis,RM / Planner,4,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,2,Validate customer profile,operations_action,previous_step=1,shared_case_state;previous_output,execute_wf-corp-001_step_2,output_contract_valid,pause_pending_information,in_analysis,RM / Planner,8,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,3,Run product solution analysis,specialist_analysis,previous_step=2,shared_case_state;previous_output,execute_wf-corp-001_step_3,output_contract_valid,pause_pending_information,in_analysis,Specialist Agent,12,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,4,Run legal eligibility checks,validation,previous_step=3,shared_case_state;previous_output,execute_wf-corp-001_step_4,output_contract_valid,pause_pending_information,in_analysis,Operations Agent,16,sla_warning OR high_risk,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,5,Resolve operations checklist,operations_action,previous_step=4,shared_case_state;previous_output,execute_wf-corp-001_step_5,output_contract_valid,pause_pending_information,in_analysis,Specialist Agent,20,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,6,Validate evidence and risk,operations_action,previous_step=5,shared_case_state;previous_output,execute_wf-corp-001_step_6,output_contract_valid,pause_pending_information,in_analysis,Operations Agent,24,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,7,Request RM approval,operations_action,previous_step=6,shared_case_state;previous_output,execute_wf-corp-001_step_7,output_contract_valid,pause_pending_information,in_analysis,Specialist Agent,28,sla_warning OR high_risk,SRC-PROP-001,true
WF-CORP-001,Corporate Request Resolution,8,Execute approved actions,operations_action,previous_step=7,shared_case_state;previous_output,execute_wf-corp-001_step_8,output_contract_valid AND approval_gate_passed,pause_pending_information,completed,Operations Agent,32,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-PY-001,Corporate Payroll Onboarding,1,Receive payroll profile,intake,"case.status in [new,received]",request_id;customer_id,execute_wf-py-001_step_1,output_contract_valid,reject_invalid_input,in_analysis,RM / Planner,4,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-PY-001,Corporate Payroll Onboarding,2,Validate payroll file,operations_action,previous_step=1,shared_case_state;previous_output,execute_wf-py-001_step_2,output_contract_valid,pause_pending_information,in_analysis,RM / Planner,8,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-PY-001,Corporate Payroll Onboarding,3,Check signer segregation,specialist_analysis,previous_step=2,shared_case_state;previous_output,execute_wf-py-001_step_3,output_contract_valid,pause_pending_information,in_analysis,Specialist Agent,12,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-PY-001,Corporate Payroll Onboarding,4,Create payroll setup task,validation,previous_step=3,shared_case_state;previous_output,execute_wf-py-001_step_4,output_contract_valid,pause_pending_information,in_analysis,Operations Agent,16,sla_warning OR high_risk,SRC-PROP-001,true
WF-PY-001,Corporate Payroll Onboarding,5,Confirm test batch,operations_action,previous_step=4,shared_case_state;previous_output,execute_wf-py-001_step_5,output_contract_valid,pause_pending_information,in_analysis,Specialist Agent,20,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-PY-001,Corporate Payroll Onboarding,6,Activate service,operations_action,previous_step=5,shared_case_state;previous_output,execute_wf-py-001_step_6,output_contract_valid AND approval_gate_passed,pause_pending_information,completed,Operations Agent,24,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-WC-001,Working Capital Readiness,1,Collect financial documents,intake,"case.status in [new,received]",request_id;customer_id,execute_wf-wc-001_step_1,output_contract_valid,reject_invalid_input,in_analysis,RM / Planner,4,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-WC-001,Working Capital Readiness,2,Verify UBO and legal authority,operations_action,previous_step=1,shared_case_state;previous_output,execute_wf-wc-001_step_2,output_contract_valid,pause_pending_information,in_analysis,RM / Planner,8,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-WC-001,Working Capital Readiness,3,Run preliminary eligibility,specialist_analysis,previous_step=2,shared_case_state;previous_output,execute_wf-wc-001_step_3,output_contract_valid,pause_pending_information,in_analysis,Specialist Agent,12,tool_error OR missing_mandatory_input,SRC-PROP-001,true
WF-WC-001,Working Capital Readiness,4,Create credit review task,validation,previous_step=3,shared_case_state;previous_output,execute_wf-wc-001_step_4,output_contract_valid,pause_pending_information,in_analysis,Operations Agent,16,sla_warning OR high_risk,SRC-PROP-001,true
WF-WC-001,Working Capital Readiness,5,Hold for credit decision,operations_action,previous_step=4,shared_case_state;previous_output,execute_wf-wc-001_step_5,output_contract_valid AND approval_gate_passed,pause_pending_information,completed,Specialist Agent,20,tool_error OR missing_mandatory_input,SRC-PROP-001,true
