case_id,customer_id,request_id,rm_id,case_type,priority,risk_level,current_status,approval_status,missing_info_count,next_action,due_at,created_at,last_updated_at,idempotency_key,source_id,synthetic_flag
CASE-2026-001,CUST-0001,REQ-2026-001,RM-01,complex_multi_domain,high,high,pending_information,pending,2,Bổ sung UBO declaration và báo cáo tài chính gần nhất,2026-07-18T17:00:00+07:00,2026-07-15T09:00:00+07:00,2026-07-17T08:30:00+07:00,IDEMP-CASE-2026-001,SRC-SYN-001,true
CASE-2026-002,CUST-0002,REQ-2026-002,RM-02,complex_multi_domain,medium,medium,completed,approved,0,Đóng case sau khi hoàn tất onboarding dịch vụ giao dịch,2026-07-17T15:00:00+07:00,2026-07-16T09:01:00+07:00,2026-07-17T09:30:00+07:00,IDEMP-CASE-2026-002,SRC-SYN-001,true
CASE-2026-003,CUST-0003,REQ-2026-003,RM-03,complex_multi_domain,normal,medium,in_analysis,pending,1,Chờ Product Agent xác nhận bộ chứng từ thanh toán quốc tế,2026-07-19T17:00:00+07:00,2026-07-17T09:02:00+07:00,2026-07-17T10:30:00+07:00,IDEMP-CASE-2026-003,SRC-SYN-001,true
CASE-2026-004,CUST-0004,REQ-2026-004,RM-04,high_risk_review,high,high,pending_review,pending,2,Chuyển human review do hồ sơ đại diện và UBO chưa đồng nhất,2026-07-18T12:00:00+07:00,2026-07-15T09:03:00+07:00,2026-07-17T11:30:00+07:00,IDEMP-CASE-2026-004,SRC-SYN-001,true
CASE-2026-005,CUST-0005,REQ-2026-005,RM-05,complex_multi_domain,normal,medium,pending_approval,pending,0,Chờ RM duyệt action tạo case dịch vụ payroll,2026-07-18T17:00:00+07:00,2026-07-16T09:04:00+07:00,2026-07-17T12:30:00+07:00,IDEMP-CASE-2026-005,SRC-SYN-001,true
CASE-2026-006,CUST-0006,REQ-2026-006,RM-01,high_risk_review,high,high,completed,approved,0,Đã hoàn tất checklist dịch vụ giao dịch; tín dụng chuyển thẩm định riêng,2026-07-17T11:00:00+07:00,2026-07-17T09:05:00+07:00,2026-07-17T13:30:00+07:00,IDEMP-CASE-2026-006,SRC-SYN-001,true
CASE-2026-007,CUST-0007,REQ-2026-007,RM-02,complex_multi_domain,medium,medium,executing,approved,0,Đang thực thi create_case và create_followup_task,2026-07-18T17:00:00+07:00,2026-07-15T09:00:00+07:00,2026-07-17T14:30:00+07:00,IDEMP-CASE-2026-007,SRC-SYN-001,true
CASE-2026-008,CUST-0008,REQ-2026-008,RM-03,complex_multi_domain,high,high,failed,approved,0,Tool timeout; cần resume bằng idempotency key,2026-07-18T12:00:00+07:00,2026-07-16T09:01:00+07:00,2026-07-17T15:30:00+07:00,IDEMP-CASE-2026-008,SRC-SYN-001,true
CASE-2026-009,CUST-0009,REQ-2026-009,RM-04,complex_multi_domain,normal,medium,pending_information,pending,1,Thiếu danh sách người nhận payroll và lịch thu hộ,2026-07-20T17:00:00+07:00,2026-07-17T09:02:00+07:00,2026-07-17T08:30:00+07:00,IDEMP-CASE-2026-009,SRC-SYN-001,true
CASE-2026-010,CUST-0010,REQ-2026-010,RM-05,high_risk_review,high,high,closed,approved,0,Đã đóng sau khi hoàn tất review giao dịch quốc tế,2026-07-17T10:00:00+07:00,2026-07-15T09:03:00+07:00,2026-07-17T09:30:00+07:00,IDEMP-CASE-2026-010,SRC-SYN-001,true
CASE-2026-011,CUST-0011,REQ-2026-011,RM-01,complex_multi_domain,normal,low,in_analysis,pending,0,Đang tạo phương án payroll và tuition collection,2026-07-21T17:00:00+07:00,2026-07-16T09:04:00+07:00,2026-07-17T10:30:00+07:00,IDEMP-CASE-2026-011,SRC-SYN-001,true
CASE-2026-012,CUST-0012,REQ-2026-012,RM-02,complex_multi_domain,medium,medium,rejected,rejected,3,Từ chối action tín dụng do thiếu hồ sơ trọng yếu; giao dịch cơ bản vẫn có thể mở lại,2026-07-18T17:00:00+07:00,2026-07-17T09:05:00+07:00,2026-07-17T11:30:00+07:00,IDEMP-CASE-2026-012,SRC-SYN-001,true
