evidence_id,case_id,evidence_type,source_document_id,source_id,page_no,section,excerpt,retrieved_at,validity_status,confidence_score,permission_scope,hash_stub,synthetic_flag
EVD-00001,CASE-2026-001,document_excerpt,DOC-00001,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000001,true
EVD-00002,CASE-2026-001,document_excerpt,DOC-00002,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000002,true
EVD-00003,CASE-2026-001,document_excerpt,DOC-00003,SRC-SYN-001,1,bank_statement,Synthetic excerpt: bank_statement for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000003,true
EVD-00004,CASE-2026-001,document_excerpt,DOC-00004,SRC-SYN-001,2,board_resolution,Synthetic excerpt: board_resolution for CUST-0001; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000004,true
EVD-00005,CASE-2026-001,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000005,true
EVD-00006,CASE-2026-002,document_excerpt,DOC-00007,SRC-SYN-001,1,business_registration,Synthetic excerpt: business_registration for CUST-0002; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000006,true
EVD-00007,CASE-2026-002,document_excerpt,DOC-00008,SRC-SYN-001,2,representative_id,Synthetic excerpt: representative_id for CUST-0002; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000007,true
EVD-00008,CASE-2026-002,document_excerpt,DOC-00009,SRC-SYN-001,1,ubo_declaration,Synthetic excerpt: ubo_declaration for CUST-0002; status=verified; expiry=2027-12-31.,2026-07-17T08:00:00+07:00,valid,0.96,ops_legal,hash-evidence-000008,true
EVD-00009,CASE-2026-002,document_excerpt,DOC-00010,SRC-SYN-001,2,financial_statement,Synthetic excerpt: financial_statement for CUST-0002; status=verified; expiry=2027-03-31.,2026-07-17T08:00:00+07:00,valid,0.96,legal_credit_only,hash-evidence-000009,true
EVD-00010,CASE-2026-002,policy_excerpt,,SRC-FATF-001,2,beneficial_ownership,"Synthetic policy excerpt: beneficial ownership information must be adequate, accurate, and up to date before high-risk action proceeds.",2026-07-17T08:10:00+07:00,valid,0.93,legal_risk,hash-evidence-000010,true
